data_ratio,model,accuracy,macro_f1
0.05,MLP,0.40860215053763443,0.29944519418203625
0.1,MLP,0.28763440860215056,0.1998628660985405
0.2,MLP,0.3333333333333333,0.16666666666666666
0.5,MLP,0.3333333333333333,0.16666666666666666
1.0,MLP,0.3333333333333333,0.16666666666666666
